folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0060.JPG,D:\drone\DCIM\109MEDIA\DJI_0060.JPG,-49.347324444444446,-27.39553258333333,564.059,2026:03:01 15:40:40
109MEDIA,DJI_0061.JPG,D:\drone\DCIM\109MEDIA\DJI_0061.JPG,-49.34728261111111,-27.39544938888889,564.059,2026:03:01 15:40:42
109MEDIA,DJI_0062.JPG,D:\drone\DCIM\109MEDIA\DJI_0062.JPG,-49.34724041666667,-27.395366555555555,564.059,2026:03:01 15:40:44
109MEDIA,DJI_0063.JPG,D:\drone\DCIM\109MEDIA\DJI_0063.JPG,-49.34719902777778,-27.39528397222222,564.059,2026:03:01 15:40:46
109MEDIA,DJI_0064.JPG,D:\drone\DCIM\109MEDIA\DJI_0064.JPG,-49.34715641666667,-27.395200583333335,564.159,2026:03:01 15:40:48
109MEDIA,DJI_0065.JPG,D:\drone\DCIM\109MEDIA\DJI_0065.JPG,-49.34712302777778,-27.395137638888887,564.659,2026:03:01 15:40:50
109MEDIA,DJI_0066.JPG,D:\drone\DCIM\109MEDIA\DJI_0066.JPG,-49.34712297222222,-27.39513725,564.659,2026:03:01 15:40:52
109MEDIA,DJI_0067.JPG,D:\drone\DCIM\109MEDIA\DJI_0067.JPG,-49.34712433333333,-27.395139,564.659,2026:03:01 15:40:54
109MEDIA,DJI_0068.JPG,D:\drone\DCIM\109MEDIA\DJI_0068.JPG,-49.34712425,-27.395139194444443,564.659,2026:03:01 15:40:56
109MEDIA,DJI_0069.JPG,D:\drone\DCIM\109MEDIA\DJI_0069.JPG,-49.347122472222225,-27.395138305555555,564.759,2026:03:01 15:40:58
109MEDIA,DJI_0070.JPG,D:\drone\DCIM\109MEDIA\DJI_0070.JPG,-49.34712172222223,-27.395137138888888,564.759,2026:03:01 15:41:00
109MEDIA,DJI_0071.JPG,D:\drone\DCIM\109MEDIA\DJI_0071.JPG,-49.34711988888889,-27.395138499999998,564.759,2026:03:01 15:41:02
109MEDIA,DJI_0072.JPG,D:\drone\DCIM\109MEDIA\DJI_0072.JPG,-49.34709541666667,-27.395162638888888,564.659,2026:03:01 15:41:04
109MEDIA,DJI_0073.JPG,D:\drone\DCIM\109MEDIA\DJI_0073.JPG,-49.34701763888889,-27.39522211111111,564.659,2026:03:01 15:41:06
109MEDIA,DJI_0074.JPG,D:\drone\DCIM\109MEDIA\DJI_0074.JPG,-49.34693916666667,-27.395275166666668,564.559,2026:03:01 15:41:08
109MEDIA,DJI_0075.JPG,D:\drone\DCIM\109MEDIA\DJI_0075.JPG,-49.346935111111115,-27.395274666666666,564.659,2026:03:01 15:41:10
109MEDIA,DJI_0076.JPG,D:\drone\DCIM\109MEDIA\DJI_0076.JPG,-49.34693569444445,-27.395272333333335,564.559,2026:03:01 15:41:12
109MEDIA,DJI_0077.JPG,D:\drone\DCIM\109MEDIA\DJI_0077.JPG,-49.34692697222223,-27.395257972222222,564.559,2026:03:01 15:41:14
109MEDIA,DJI_0078.JPG,D:\drone\DCIM\109MEDIA\DJI_0078.JPG,-49.346925500000005,-27.39523263888889,564.559,2026:03:01 15:41:16
109MEDIA,DJI_0079.JPG,D:\drone\DCIM\109MEDIA\DJI_0079.JPG,-49.34694791666667,-27.395210694444444,564.659,2026:03:01 15:41:18
109MEDIA,DJI_0080.JPG,D:\drone\DCIM\109MEDIA\DJI_0080.JPG,-49.346975111111114,-27.39519786111111,564.659,2026:03:01 15:41:20
109MEDIA,DJI_0081.JPG,D:\drone\DCIM\109MEDIA\DJI_0081.JPG,-49.34702052777778,-27.39517627777778,564.659,2026:03:01 15:41:22
109MEDIA,DJI_0082.JPG,D:\drone\DCIM\109MEDIA\DJI_0082.JPG,-49.347113444444446,-27.395129722222222,564.659,2026:03:01 15:41:24
109MEDIA,DJI_0083.JPG,D:\drone\DCIM\109MEDIA\DJI_0083.JPG,-49.34725127777778,-27.39506958333333,564.659,2026:03:01 15:41:26
109MEDIA,DJI_0084.JPG,D:\drone\DCIM\109MEDIA\DJI_0084.JPG,-49.34740747222222,-27.395014361111112,564.559,2026:03:01 15:41:28
109MEDIA,DJI_0085.JPG,D:\drone\DCIM\109MEDIA\DJI_0085.JPG,-49.34757286111111,-27.3949745,564.559,2026:03:01 15:41:30
109MEDIA,DJI_0086.JPG,D:\drone\DCIM\109MEDIA\DJI_0086.JPG,-49.34774430555556,-27.39495211111111,564.559,2026:03:01 15:41:32
109MEDIA,DJI_0087.JPG,D:\drone\DCIM\109MEDIA\DJI_0087.JPG,-49.34791694444445,-27.39494263888889,564.459,2026:03:01 15:41:34
109MEDIA,DJI_0088.JPG,D:\drone\DCIM\109MEDIA\DJI_0088.JPG,-49.34808269444445,-27.39495375,564.559,2026:03:01 15:41:36
109MEDIA,DJI_0089.JPG,D:\drone\DCIM\109MEDIA\DJI_0089.JPG,-49.348244694444446,-27.394971527777777,564.559,2026:03:01 15:41:38
109MEDIA,DJI_0090.JPG,D:\drone\DCIM\109MEDIA\DJI_0090.JPG,-49.34840033333334,-27.394991944444445,564.559,2026:03:01 15:41:40
109MEDIA,DJI_0091.JPG,D:\drone\DCIM\109MEDIA\DJI_0091.JPG,-49.34853536111111,-27.39504886111111,564.459,2026:03:01 15:41:42
109MEDIA,DJI_0092.JPG,D:\drone\DCIM\109MEDIA\DJI_0092.JPG,-49.34866386111111,-27.39512075,564.559,2026:03:01 15:41:44
109MEDIA,DJI_0093.JPG,D:\drone\DCIM\109MEDIA\DJI_0093.JPG,-49.34879191666667,-27.395160138888887,564.559,2026:03:01 15:41:46
109MEDIA,DJI_0094.JPG,D:\drone\DCIM\109MEDIA\DJI_0094.JPG,-49.348874,-27.395158833333333,564.559,2026:03:01 15:41:48
109MEDIA,DJI_0095.JPG,D:\drone\DCIM\109MEDIA\DJI_0095.JPG,-49.34894502777778,-27.39514725,564.659,2026:03:01 15:41:50
109MEDIA,DJI_0096.JPG,D:\drone\DCIM\109MEDIA\DJI_0096.JPG,-49.34903766666667,-27.395128944444444,564.659,2026:03:01 15:41:52
109MEDIA,DJI_0097.JPG,D:\drone\DCIM\109MEDIA\DJI_0097.JPG,-49.349172333333335,-27.395100499999998,564.659,2026:03:01 15:41:54
